case_id,dataset,fold,dice_single,detectability_single,precision_single,dice_dual,detectability_dual,precision_dual,dice_difference,detectability_difference,precision_difference
Liver_Lesions_1426,Liver_Lesions,0,0.9694543406667401,0.8,0.8,0.9782831006079988,0.8,0.8,0.008828759941258757,0.0,0.0
Liver_Lesions_1428,Liver_Lesions,0,0.9172247893359614,1.0,1.0,0.9191014986443784,1.0,1.0,0.0018767093084169906,0.0,0.0
Liver_Lesions_1432,Liver_Lesions,0,0.20642515379357484,0.6666666666666666,0.8,0.22408782692928642,0.8333333333333334,0.8333333333333334,0.01766267313571157,0.16666666666666674,0.033333333333333326
Liver_Lesions_1436,Liver_Lesions,0,0.8658109684947491,1.0,1.0,0.8961352657004831,1.0,1.0,0.03032429720573393,0.0,0.0
Liver_Lesions_1453,Liver_Lesions,0,0.9601057661084567,0.9333333333333332,0.9333333333333332,0.9578099240717951,0.9333333333333332,0.9333333333333332,-0.002295842036661555,0.0,0.0
Liver_Lesions_1455,Liver_Lesions,0,0.9539040451552211,1.0,0.5,0.9551020408163265,1.0,0.5,0.0011979956611054554,0.0,0.0
Liver_Lesions_1462,Liver_Lesions,0,0.7039403620873269,1.0,0.2,0.7143592382913021,1.0,0.5,0.010418876203975191,0.0,0.3
Liver_Lesions_1465,Liver_Lesions,0,0.9736316667009737,1.0,0.875,0.9728736258126,1.0,0.875,-0.0007580408883737233,0.0,0.0
Liver_Lesions_1467,Liver_Lesions,0,0.9436813186813187,1.0,0.6666666666666666,0.9544198895027625,1.0,1.0,0.010738570821443805,0.0,0.33333333333333337
Liver_Lesions_1468,Liver_Lesions,0,0.9591048917305024,0.8695652173913043,0.9090909090909092,0.9643769187509795,0.9130434782608696,0.875,0.0052720270204771325,0.0434782608695653,-0.03409090909090917
Liver_Lesions_1487,Liver_Lesions,0,0.6958904109589041,0.5,0.3333333333333333,0.6718346253229974,0.5,0.5,-0.024055785635906712,0.0,0.16666666666666669
Liver_Lesions_1488,Liver_Lesions,0,0.9341357828511128,0.8333333333333334,1.0,0.9360832456014235,0.8333333333333334,1.0,0.0019474627503107689,0.0,0.0
Liver_Lesions_1489,Liver_Lesions,0,0.07686622320768663,0.5,1.0,0.0,0.0,,-0.07686622320768663,-0.5,
Liver_Lesions_1509,Liver_Lesions,0,0.8781150004848249,0.8571428571428571,1.0,0.8780440288330411,0.7142857142857143,0.7142857142857143,-7.097165178382436e-05,-0.1428571428571428,-0.2857142857142857
Liver_Lesions_1511,Liver_Lesions,0,0.6297491175465898,0.72,0.5454545454545454,0.4204798542215023,0.56,0.4827586206896552,-0.2092692633250875,-0.15999999999999992,-0.06269592476489022
Liver_Lesions_1513,Liver_Lesions,0,0.9236595461249346,0.6363636363636364,1.0,0.9178485314499439,0.8181818181818182,1.0,-0.005811014674990678,0.18181818181818188,0.0
Liver_Lesions_1523,Liver_Lesions,0,0.13515981735159818,1.0,0.5,0.14713896457765668,1.0,0.5,0.0119791472260585,0.0,0.0
Liver_Lesions_1526,Liver_Lesions,0,0.725702039773926,0.7272727272727273,0.7272727272727273,0.7262588158110547,0.7272727272727273,0.6666666666666666,0.0005567760371286701,0.0,-0.06060606060606066
Liver_Lesions_1529,Liver_Lesions,0,0.9319321697160781,0.8478260869565217,0.7959183673469388,0.93728328573446,0.8913043478260869,0.7735849056603774,0.005351116018381896,0.04347826086956519,-0.022333461686561362
Liver_Lesions_1536,Liver_Lesions,0,0.4864864864864865,0.6666666666666666,1.0,0.24226110363391656,0.3333333333333333,1.0,-0.24422538285256995,-0.3333333333333333,0.0
Liver_Lesions_1544,Liver_Lesions,0,0.7156643934880205,0.7333333333333333,0.5238095238095238,0.7272847109828706,0.7333333333333333,0.6111111111111112,0.011620317494850152,0.0,0.08730158730158732
Liver_Lesions_1545,Liver_Lesions,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Liver_Lesions_1549,Liver_Lesions,0,0.8397975806731136,1.0,0.8,0.8919024598322195,1.0,0.8,0.05210487915910589,0.0,0.0
Liver_Lesions_1552,Liver_Lesions,0,0.7916930881420419,1.0,0.6666666666666666,0.7987411233053583,1.0,0.6666666666666666,0.007048035163316424,0.0,0.0
Liver_Lesions_1563,Liver_Lesions,0,0.6986556656366475,0.5454545454545454,0.7692307692307693,0.7180864767384444,0.5818181818181818,0.7272727272727273,0.019430811101796897,0.036363636363636376,-0.04195804195804198
Liver_Lesions_1571,Liver_Lesions,0,0.6623014925712467,1.0,0.5,0.473508913505979,1.0,0.25,-0.1887925790652677,0.0,-0.25
Liver_Lesions_1584,Liver_Lesions,0,0.8471444018480291,0.75,1.0,0.8261885460874541,1.0,1.0,-0.020955855760575015,0.25,0.0
Liver_Lesions_1588,Liver_Lesions,0,0.8602286403203137,0.3125,1.0,0.8448901727121831,0.375,0.5454545454545454,-0.015338467608130513,0.0625,-0.4545454545454546
Liver_Lesions_1589,Liver_Lesions,0,0.9351589167867709,0.6,1.0,0.9328310724669795,0.8,1.0,-0.0023278443197913834,0.20000000000000007,0.0
Liver_Lesions_1602,Liver_Lesions,0,0.919015316545707,0.5555555555555556,0.8333333333333334,0.9304139443401985,0.5555555555555556,0.625,0.011398627794491523,0.0,-0.20833333333333337
Liver_Lesions_1603,Liver_Lesions,0,0.7144905760701871,1.0,0.5714285714285714,0.7180069462997596,1.0,0.6666666666666666,0.0035163702295725185,0.0,0.09523809523809523
Liver_Lesions_1608,Liver_Lesions,0,0.9273933701054011,0.902439024390244,0.925,0.9341940689933428,0.926829268292683,0.9047619047619048,0.0068006988879416586,0.024390243902438935,-0.020238095238095277
Liver_Lesions_1611,Liver_Lesions,0,0.8748761967646088,1.0,1.0,0.9011446409989594,1.0,1.0,0.026268444234350596,0.0,0.0
Liver_Lesions_1612,Liver_Lesions,0,0.5684480364581479,0.875,0.7777777777777778,0.6778280918948112,0.875,0.875,0.10938005543666329,0.0,0.09722222222222221
Liver_Lesions_1617,Liver_Lesions,0,0.8052434456928839,0.6666666666666666,0.5714285714285714,0.8803410128894753,1.0,0.5,0.07509756719659144,0.33333333333333337,-0.0714285714285714
Liver_Lesions_1618,Liver_Lesions,0,0.8593358235685412,0.4285714285714285,0.3,0.8460014047762392,0.4285714285714285,0.3333333333333333,-0.013334418792302016,0.0,0.033333333333333326
Liver_Lesions_1622,Liver_Lesions,0,0.7636403238102153,0.6,1.0,0.6982350087689839,0.5,0.8333333333333334,-0.06540531504123137,-0.09999999999999998,-0.16666666666666663
Liver_Lesions_1625,Liver_Lesions,0,0.9856674455763778,1.0,1.0,0.9881404016242977,1.0,1.0,0.002472956047919972,0.0,0.0
